id_ipc_apertura;valor_ipc_apertura;id_apertura;id_periodo;id_region
NULL;2.5;2;49;2
NULL;3.6;2;50;2
NULL;0.8;2;51;2
NULL;4.6;2;52;2
NULL;3.3;2;53;2
NULL;3.3;2;54;2
NULL;5.3;2;55;2
NULL;3.3;2;56;2
NULL;2.7;2;57;2
NULL;3.5;2;58;2
NULL;1.7;2;59;2
NULL;2.9;2;60;2
NULL;3.7;2;61;2
NULL;4.2;2;62;2
NULL;5;2;63;2
NULL;4.6;2;64;2
NULL;5.3;2;65;2
NULL;1.2;3;1;2
NULL;1.9;3;2;2
NULL;2.1;3;3;2
NULL;1.6;3;4;2
NULL;2.6;3;5;2
NULL;1.1;3;6;2
NULL;3.4;3;7;2
NULL;2.2;3;8;2
NULL;1.6;3;9;2
NULL;2.8;3;10;2
NULL;2.1;3;11;2
NULL;1.3;3;12;2
NULL;1.1;3;13;2
NULL;0.9;3;14;2
NULL;1.4;3;15;2
NULL;0.9;3;16;2
NULL;1.7;3;17;2
NULL;1;3;18;2
NULL;1.5;3;19;2
NULL;0.2;3;20;2
NULL;3.4;3;21;2
NULL;4.9;3;22;2
NULL;4.5;3;23;2
NULL;1.8;3;24;2
NULL;2.2;3;25;2
NULL;2;3;26;2
NULL;1.1;3;27;2
NULL;1.6;3;28;2
NULL;1.2;3;29;2
NULL;2.1;3;30;2
NULL;2.8;3;31;2
NULL;1.7;3;32;2
NULL;3.4;3;33;2
NULL;6.3;3;34;2
NULL;4.3;3;35;2
NULL;2.5;3;36;2
NULL;2.9;3;37;2
NULL;0.8;3;38;2
NULL;1.7;3;39;2
NULL;-0.8;3;40;2
NULL;-0.1;3;41;2
NULL;0.4;3;42;2
NULL;2.2;3;43;2
NULL;4.1;3;44;2
NULL;0.8;3;45;2
NULL;4.9;3;46;2
NULL;1.6;3;47;2
NULL;1.1;3;48;2
NULL;2.8;3;49;2
NULL;5.1;3;50;2
NULL;5.1;3;51;2
NULL;9.2;3;52;2
NULL;3.1;3;53;2
NULL;5.5;3;54;2
NULL;8.1;3;55;2
NULL;4.6;3;56;2
NULL;5.6;3;57;2
NULL;2.8;3;58;2
NULL;2.3;3;59;2
NULL;4;3;60;2
NULL;3.4;3;61;2
NULL;4.5;3;62;2
NULL;6.1;3;63;2
NULL;8;3;64;2
NULL;6.2;3;65;2
NULL;0;4;1;2
NULL;7.3;4;2;2
NULL;1.2;4;3;2
NULL;2.8;4;4;2
NULL;1.4;4;5;2
NULL;0;4;6;2
NULL;3.3;4;7;2
NULL;0.6;4;8;2
NULL;0;4;9;2
NULL;3.5;4;10;2
NULL;0.3;4;11;2
NULL;0;4;12;2
